field                      energy     energy error    magnetization        mag error       ene binder       mag binder
 5.0000000E-01     -1.0622361E+00    7.2295010E-04   -3.9119720E-05    3.3862514E-05    6.6654609E-01   -8.1147414E+00
 6.0000000E-01     -1.0978363E+00    5.4864446E-05   -8.4209442E-06    1.1179504E-05    6.6666600E-01    2.7939672E-01
 7.0000000E-01     -1.1345262E+00    6.8328133E-05    1.0597706E-05    1.3218300E-05    6.6666570E-01   -1.4493633E-01
 8.0000000E-01     -1.1773866E+00    7.8421930E-05    1.3468266E-05    1.7560751E-05    6.6666549E-01    7.6883921E-02
 9.0000000E-01     -1.2271847E+00    1.0413992E-04   -1.5888214E-05    2.3434165E-05    6.6666476E-01   -3.2793609E-01
 1.0000000E+00     -1.2839232E+00    1.1413714E-04    2.2130013E-05    3.1653228E-05    6.6666457E-01   -1.9708034E-01
 1.1000000E+00     -1.3470393E+00    1.5234569E-04   -3.9529800E-06    5.5423386E-05    6.6666327E-01   -7.0357957E-01
 1.2000000E+00     -1.4116347E+00    1.6930055E-04   -7.7812672E-05    1.3310284E-04    6.6666285E-01   -2.6542335E-01
 1.3000000E+00     -1.4905429E+00    1.8158931E-04   -5.8293343E-05    1.2743190E-04    6.6666273E-01   -3.9630241E-01
 1.4000000E+00     -1.5723747E+00    1.6435226E-04   -1.3079882E-04    1.4259989E-04    6.6666377E-01   -3.8820102E-02
 1.5000000E+00     -1.6563897E+00    1.8267824E-04   -1.3780594E-06    1.3016886E-04    6.6666344E-01    9.8392484E-02
 1.6000000E+00     -1.7426228E+00    1.9924729E-04    9.3822479E-05    1.2792459E-04    6.6666320E-01   -1.5960225E-01
 1.7000000E+00     -1.8308903E+00    2.0934269E-04    9.6912384E-05    1.3931534E-04    6.6666320E-01   -1.0697139E-01
 1.8000000E+00     -1.9203290E+00    2.1155738E-04   -2.7118683E-04    1.5770165E-04    6.6666345E-01    2.5761219E-02
 1.9000000E+00     -2.0113390E+00    2.4173680E-04    6.4806938E-05    1.5997302E-04    6.6666284E-01   -3.4194900E-01
 2.0000000E+00     -2.1034039E+00    2.8849287E-04    3.2687187E-05    2.2705230E-04    6.6666167E-01   -4.2352816E-02
 2.1000000E+00     -2.1976358E+00    4.1325633E-04    4.4687986E-04    2.5833830E-04    6.6665729E-01   -1.8799225E-01
 2.2000000E+00     -2.2911305E+00    4.6114406E-04   -9.4069242E-04    4.4058816E-04    6.6665593E-01   -5.0648883E-02
 2.3000000E+00     -2.3884474E+00    5.8875242E-04    8.8622332E-04    5.8961356E-04    6.6665055E-01   -8.0962900E-02
 2.4000000E+00     -2.4831635E+00    6.1353824E-04    2.0900917E-03    6.1694954E-04    6.6665046E-01   -2.9219978E-03
 2.5000000E+00     -2.5842308E+00    5.6303755E-04   -8.4648848E-04    5.0964077E-04    6.6665407E-01    1.3650598E-01
 2.6000000E+00     -2.6833407E+00    4.3171161E-04    8.7605476E-04    4.5354259E-04    6.6665979E-01    1.5644079E-01
 2.7000000E+00     -2.7830298E+00    5.7626750E-04   -1.3875484E-04    5.4527655E-04    6.6665529E-01   -2.1952618E-01
 2.8000000E+00     -2.8651781E+00    3.6924713E-04   -4.0398431E-03    5.1300278E-04    6.6666226E-01    2.5495439E-01
 2.9000000E+00     -2.9822792E+00    8.2226501E-04   -2.5155377E-03    5.5389411E-04    6.6664656E-01    1.2776153E-01
 3.0000000E+00     -3.0728543E+00    6.4324097E-04    2.9087901E-03    3.6826818E-04    6.6665506E-01    2.0481188E-01
 3.1000000E+00     -3.1641450E+00    8.9131046E-04    8.7680817E-04    2.0646686E-04    6.6664571E-01   -8.8878107E-02
 3.2000000E+00     -3.2713883E+00    9.3051989E-04    2.9123330E-03    2.6133139E-04    6.6664528E-01    2.5086893E-01
 3.3000000E+00     -3.3747876E+00    9.4342466E-04   -1.2491941E-04    4.6055777E-04    6.6664590E-01    8.4670503E-02
 3.4000000E+00     -3.4641936E+00    5.6787597E-04   -3.5943675E-03    5.2792417E-04    6.6665954E-01    1.8105689E-01
 3.5000000E+00     -3.5535513E+00    3.1001830E-04   -1.2081242E-03    4.2920316E-04    6.6666465E-01    3.2446761E-01
 3.6000000E+00     -3.6432057E+00    1.0431018E-03    2.2682500E-03    3.2524479E-04    6.6664492E-01    3.8831244E-01
 3.7000000E+00     -3.7623048E+00    9.7472835E-04    5.3381920E-06    3.1358209E-04    6.6664887E-01    3.1256513E-01
 3.8000000E+00     -3.8718793E+00    4.9547355E-04   -4.6425104E-04    1.7835981E-04    6.6666233E-01   -2.7249528E-01
 3.9000000E+00     -3.9669451E+00    9.6203384E-04   -2.3678422E-03    1.6592762E-04    6.6665108E-01    3.2306451E-01
 4.0000000E+00     -4.0594139E+00    2.9033985E-04    1.0676527E-03    2.0562145E-04    6.6666531E-01    2.9579141E-01
 4.1000000E+00     -4.1616969E+00    7.7089857E-04    7.3768497E-03    1.1729336E-04    6.6665757E-01    6.0247243E-01
 4.2000000E+00     -4.2617240E+00    7.1324035E-04    1.2343004E-02    2.2367948E-04    6.6665923E-01    5.9914707E-01
 4.3000000E+00     -4.3563023E+00    2.2133152E-04    6.0018134E-03    1.9585222E-04    6.6666598E-01    4.3118366E-01
 4.4000000E+00     -4.4503662E+00    5.9089992E-04    3.4872627E-03    2.0723862E-04    6.6666199E-01   -1.5079834E-02
 4.5000000E+00     -4.5559379E+00    8.3882428E-04    6.9549966E-03    1.5609441E-04    6.6665767E-01    5.7369323E-01
 4.6000000E+00     -4.6628680E+00    3.5721147E-04    5.1951885E-03    1.1709995E-04    6.6666511E-01    5.5898334E-01
 4.7000000E+00     -4.7650528E+00    5.5122850E-04    5.7252073E-03    1.5220215E-04    6.6666311E-01    5.0705398E-01
 4.8000000E+00     -4.8658516E+00    2.1091627E-04   -2.3343229E-03    1.1993903E-04    6.6666617E-01    3.3564966E-01
 4.9000000E+00     -4.9587103E+00    3.8831034E-04   -1.1782265E-03    1.9378643E-04    6.6666504E-01    1.7039272E-01
 5.0000000E+00     -5.0553853E+00    2.5644564E-04   -4.3623853E-03    1.0779882E-04    6.6666598E-01    5.6155528E-01
