step             energy density          mag density             duration
0                -3.9819143E+00       -1.8310547E-04        2.5363000E-05
16               -3.9702908E+00        3.6621094E-04        3.9080000E-06
32               -3.9464997E+00        1.8310547E-04        9.0800000E-07
48               -3.9303126E+00       -6.7138672E-04        9.8800000E-07
64               -3.9072539E+00       -2.8076172E-03        6.0340000E-06
80               -3.8911367E+00       -2.7465820E-03        8.4960000E-06
96               -3.8738611E+00       -2.2583008E-03        3.2240000E-06
112              -3.8529399E+00       -1.2817383E-03        2.6507000E-05
128              -3.8349929E+00       -1.8310547E-03        2.7810000E-06
144              -3.8192343E+00       -7.9345703E-04        2.5910000E-06
160              -3.7983055E+00        1.5258789E-03        2.3980000E-06
176              -3.7627268E+00        1.4648438E-03        1.1390000E-06
192              -3.7393667E+00        1.3427734E-03        2.4270000E-06
208              -3.7009843E+00        1.2817383E-03        2.7160000E-06
224              -3.6723345E+00        3.9062500E-03        2.6170000E-06
240              -3.5567255E+00        6.8969727E-03        2.7200000E-06
256              -3.4331742E+00        6.0424805E-03        8.5200000E-07
272              -3.4136530E+00        5.8593750E-03        2.6760000E-06
288              -3.3936334E+00        6.1645508E-03        1.9710000E-06
304              -3.1549906E+00        1.1230469E-02        1.2440000E-06
320              -2.2266715E+00        4.5166016E-03        8.3100000E-07
336              -1.5516933E+00        1.5869141E-03        1.5743110E-03
352              -1.5490510E+00        6.7138672E-04        1.9392350E-03
368              -1.5463870E+00        6.1035156E-05        1.5509850E-03
384              -1.5505820E+00       -6.1035156E-04        1.4497940E-03
400              -1.5499017E+00       -2.3803711E-03        1.8483450E-03
416              -1.5490612E+00        2.1362305E-03        1.6672450E-03
432              -1.5519273E+00       -3.6621094E-04        1.7977940E-03
448              -1.5482639E+00       -3.6621094E-04        2.2159020E-03
464              -1.5480350E+00        2.9296875E-03        1.5044750E-03
480              -1.5473611E+00       -2.1362305E-03        1.5006850E-03
496              -1.5409155E+00       -1.8310547E-04        1.4863760E-03
512              -1.5387665E+00        2.5634766E-03        1.5818020E-03
528              -1.5490751E+00        9.1552734E-04        1.4768990E-03
544              -1.5407769E+00        3.0517578E-04        1.5262470E-03
560              -1.5504090E+00        1.2817383E-03        1.4900690E-03
576              -1.5485475E+00        2.0141602E-03        1.7085030E-03
592              -1.5432857E+00       -2.9296875E-03        1.6699020E-03
608              -1.5457385E+00        2.4414062E-04        1.4304210E-03
624              -1.5519197E+00        6.1035156E-04        1.4427970E-03
640              -1.5516246E+00       -1.1596680E-03        1.4196610E-03
656              -1.5505032E+00        1.8310547E-04        1.4339680E-03
672              -1.5493689E+00        7.3242188E-04        1.6341740E-03
688              -1.5474069E+00       -9.7656250E-04        1.9471670E-03
704              -1.5548570E+00        3.6621094E-04        1.5502400E-03
720              -1.5505985E+00       -1.4648438E-03        1.5541600E-03
736              -1.5480515E+00       -1.2207031E-03        2.0727000E-03
752              -1.5463336E+00        2.1972656E-03        1.4603690E-03
768              -1.5483275E+00       -1.8310547E-04        2.3868770E-03
784              -1.5429144E+00        7.3242188E-04        1.4424760E-03
800              -1.5514873E+00       -1.8310547E-04        1.5227900E-03
816              -1.5497300E+00       -2.0751953E-03        1.4890680E-03
832              -1.5510244E+00        3.7231445E-03        1.5801250E-03
848              -1.5440003E+00       -1.2207031E-03        1.5350000E-06
864              -1.5442533E+00       -2.1972656E-03        1.4780950E-03
880              -1.5473687E+00        1.4038086E-03        1.6016580E-03
896              -1.5511414E+00        3.0517578E-04        1.4265420E-03
912              -1.5494897E+00        2.4414062E-04        1.5725550E-03
928              -1.5441885E+00       -4.2724609E-04        1.4073200E-03
944              -1.5453355E+00        4.8828125E-04        1.4293440E-03
960              -1.5479066E+00        2.4414062E-04        1.5220400E-03
976              -1.5441364E+00       -3.6621094E-04        1.4889300E-03
992              -1.5506468E+00        5.4931641E-04        1.4066150E-03
1008             -1.5401754E+00        7.9345703E-04        1.4665420E-03
1024             -1.5468054E+00        1.5869141E-03        1.5440580E-03
1040             -1.5434662E+00       -2.7465820E-03        1.3998710E-03
1056             -1.5507053E+00       -2.4414062E-04        1.4371570E-03
1072             -1.5468105E+00        9.7656250E-04        1.3995910E-03
1088             -1.5432170E+00        1.7700195E-03        1.4410010E-03
1104             -1.5406497E+00        4.2724609E-04        1.4002450E-03
1120             -1.5437078E+00       -4.2724609E-04        1.9573870E-03
1136             -1.5463807E+00       -2.1362305E-03        1.5052780E-03
1152             -1.5485868E+00        1.1596680E-03        1.4482720E-03
1168             -1.5456839E+00        4.3945312E-03        1.4415280E-03
1184             -1.5464468E+00       -1.0986328E-03        1.4701040E-03
1200             -1.5470369E+00        1.7089844E-03        2.4588710E-03
1216             -1.5483999E+00       -1.2207031E-03        1.4321230E-03
1232             -1.5476039E+00        1.8920898E-03        1.4578940E-03
1248             -1.5440741E+00        1.5258789E-03        1.3999700E-03
1264             -1.5469465E+00        6.1035156E-04        1.4589440E-03
1280             -1.5459560E+00        1.2207031E-04        2.2548400E-03
1296             -1.5457653E+00       -1.7700195E-03        1.6225540E-03
1312             -1.5468067E+00        3.2958984E-03        1.3962230E-03
1328             -1.5485131E+00       -3.1738281E-03        1.5514610E-03
1344             -1.5501611E+00       -3.0517578E-04        1.4497540E-03
1360             -1.5471830E+00        1.5869141E-03        1.4702100E-03
1376             -1.5481418E+00        1.5869141E-03        1.3977030E-03
1392             -1.5460895E+00       -1.9531250E-03        1.6389020E-03
1408             -1.5454181E+00       -2.5024414E-03        1.4335010E-03
1424             -1.5412639E+00       -2.1362305E-03        1.4024950E-03
1440             -1.5508846E+00        4.2724609E-04        1.4659010E-03
1456             -1.5467571E+00        1.2817383E-03        1.5401760E-03
1472             -1.5470534E+00       -1.2207031E-04        1.4388750E-03
1488             -1.5465180E+00       -3.4790039E-03        1.4930720E-03
1504             -1.5488348E+00        1.2817383E-03        1.4627680E-03
1520             -1.5471868E+00        2.4414062E-04        1.4385020E-03
1536             -1.5491260E+00        1.0986328E-03        1.4929120E-03
1552             -1.5463336E+00        3.6621094E-04        1.5475190E-03
1568             -1.5519883E+00       -4.2724609E-04        1.4468080E-03
1584             -1.5481342E+00       -1.2207031E-04        1.4902300E-03

total thermalization time is  1.9797243E+00      

