step             energy density          mag density             duration
0                -4.0276070E+00       -2.4414062E-03        1.1040000E-05
8                -3.9979081E+00       -4.8828125E-03        1.4220000E-06
16               -3.8630655E+00       -1.0009766E-02        1.2757000E-05
24               -3.6839212E+00       -2.1972656E-02        5.5800000E-07
32               -3.6352403E+00       -2.1484375E-02        6.2100000E-07
40               -3.1114185E+00        4.9072266E-02        8.4100000E-07
48               -1.4855752E+00        3.0761719E-02        4.1689400E-04
56               -1.0053881E+00        1.2451172E-02        4.9703500E-04
64               -1.0128900E+00        2.5878906E-02        5.2334700E-04
72               -9.3832513E-01        1.7333984E-02        5.2537600E-04
80               -1.0393486E+00       -6.3720703E-02        5.1967900E-04
88               -9.7551066E-01       -1.0742188E-01        5.2778300E-04
96               -9.9598293E-01        1.5551758E-01        5.7136800E-04
104              -1.0151021E+00       -1.8505859E-01        3.5620500E-04
112              -1.0444192E+00        6.6894531E-02        4.8298100E-04
120              -1.0025032E+00       -1.5356445E-01        4.8834800E-04
128              -1.0249337E+00       -1.0375977E-01        5.1212200E-04
136              -1.0097868E+00       -1.1962891E-01        4.9235100E-04
144              -1.0206407E+00        1.7285156E-01        4.8886100E-04
152              -9.9084031E-01        1.8164062E-01        4.9014600E-04
160              -1.0649017E+00        1.6552734E-01        4.9580700E-04
168              -1.0410317E+00        1.2207031E-02        5.0479000E-04
176              -1.0278938E+00       -7.3730469E-02        7.5516000E-05
184              -1.0390329E+00       -1.8090820E-01        5.2745300E-04
192              -1.0605122E+00       -1.9775391E-01        5.0112000E-04
200              -1.0321716E+00        1.6601562E-02        2.5520000E-06
208              -9.9074892E-01        5.2246094E-02        5.0406900E-04
216              -9.9655245E-01        8.2763672E-02        4.8274000E-04
224              -9.8333331E-01        6.4941406E-02        5.0916000E-04
232              -1.0257935E+00       -2.3925781E-02        4.9759300E-04
240              -1.0209716E+00       -1.6284180E-01        4.7970400E-04
248              -9.9658799E-01        6.9824219E-02        5.0743300E-04
256              -1.0156005E+00        7.4951172E-02        5.0484300E-04
264              -9.9266143E-01        7.5195312E-02        5.1025000E-04
272              -1.0250048E+00        4.2236328E-02        4.8561500E-04
280              -1.0376493E+00        4.2724609E-02        5.0626900E-04
288              -1.0512755E+00        5.1757812E-02        4.6357900E-04
296              -1.0151782E+00       -1.0131836E-01        4.8221600E-04
304              -1.0439716E+00        1.0449219E-01        4.9741200E-04
312              -1.0386563E+00       -4.0771484E-02        5.0240600E-04
320              -1.0196387E+00       -7.0800781E-02        5.1435000E-04
328              -1.0123298E+00        1.0644531E-01        4.7468800E-04
336              -1.0260473E+00       -1.4599609E-01        6.5760000E-05
344              -1.0357571E+00        1.6870117E-01        5.1425000E-04
352              -1.0259458E+00        1.7822266E-02        2.3417000E-04
360              -1.0240942E+00       -1.7553711E-01        1.4011100E-04
368              -1.0440071E+00       -6.7871094E-02        3.5441400E-04
376              -9.8587118E-01       -1.8090820E-01        5.3541100E-04
384              -1.0293079E+00        1.9140625E-01        4.3442900E-04
392              -1.0161700E+00        2.1997070E-01        5.2691900E-04
400              -1.0260067E+00        1.7480469E-01        5.1754000E-04
408              -1.0112973E+00       -1.9018555E-01        3.2290100E-04
416              -1.0136677E+00        2.0068359E-01        5.1671000E-04
424              -1.0126657E+00        1.9335938E-01        4.9552400E-04
432              -1.0132302E+00        2.2216797E-01        4.9803400E-04
440              -1.0307931E+00       -1.6210938E-01        4.9451900E-04
448              -1.0361337E+00        1.2622070E-01        4.7385600E-04
456              -9.9662353E-01        1.1181641E-01        5.1467900E-04
464              -1.0542407E+00       -2.2314453E-01        4.5469600E-04
472              -1.0283517E+00       -6.6894531E-02        5.0835300E-04
480              -1.0079098E+00        5.2978516E-02        5.0151300E-04
488              -1.0278837E+00        6.7626953E-02        5.2057700E-04
496              -1.0122587E+00        1.0449219E-01        4.9218400E-04
504              -1.0132505E+00       -1.5478516E-01        4.9859700E-04
512              -1.0113177E+00        2.7246094E-01        5.2900500E-04
520              -1.0215665E+00        5.6396484E-02        9.6622000E-05
