field                      energy     energy error    magnetization        mag error       ene binder       mag binder
 5.0000000E-01     -1.0622688E+00    3.1679087E-04   -6.9461060E-04    1.0353714E-03    6.6664312E-01   -4.4474953E-01
 6.0000000E-01     -1.0893063E+00    4.8888959E-04   -1.5380859E-04    4.4510891E-04    6.6661344E-01   -8.5358383E-01
 7.0000000E-01     -1.1346724E+00    1.6369924E-04   -1.6815186E-05    3.6594087E-05    6.6666115E-01   -1.4372199E-02
 8.0000000E-01     -1.1772377E+00    1.9002811E-04    5.0048828E-06    4.5484415E-05    6.6665975E-01   -3.0018003E-01
 9.0000000E-01     -1.2271505E+00    2.2504810E-04    8.3938599E-05    5.8983901E-05    6.6665774E-01    1.1360269E-01
 1.0000000E+00     -1.2839577E+00    2.4890153E-04   -1.1650085E-04    8.6213821E-05    6.6665670E-01   -5.0935740E-04
 1.1000000E+00     -1.3466087E+00    3.4248284E-04   -2.2047424E-04    1.6443425E-04    6.6664950E-01   -4.0034065E-01
 1.2000000E+00     -1.4123191E+00    4.5461911E-04   -3.3868408E-04    3.5564956E-04    6.6663915E-01   -8.4305600E-01
 1.3000000E+00     -1.4898263E+00    4.9799942E-04    3.3491516E-04    3.2241785E-04    6.6663703E-01   -2.0261932E-01
 1.4000000E+00     -1.5723387E+00    4.3233498E-04   -1.5522766E-04    3.1429185E-04    6.6664660E-01   -7.9492581E-01
 1.5000000E+00     -1.6567925E+00    4.8803184E-04    3.4750366E-04    3.3021669E-04    6.6664362E-01   -1.2537260E-01
 1.6000000E+00     -1.7413266E+00    4.7552465E-04   -1.2406921E-04    3.3051206E-04    6.6664688E-01   -2.8410330E-01
 1.7000000E+00     -1.8299831E+00    4.5578606E-04   -4.3666077E-04    3.5271352E-04    6.6665022E-01    3.5722510E-02
 1.8000000E+00     -1.9203290E+00    5.3102749E-04   -4.4839478E-04    4.1109251E-04    6.6664636E-01   -4.8321338E-01
 1.9000000E+00     -2.0118526E+00    5.7701634E-04    6.5228271E-04    4.7308605E-04    6.6664483E-01   -3.7035734E-01
 2.0000000E+00     -2.1042358E+00    6.7857647E-04    7.3303223E-05    5.0658526E-04    6.6663904E-01   -1.6710172E-01
 2.1000000E+00     -2.1967984E+00    8.0893864E-04    3.8143921E-04    6.6681273E-04    6.6663063E-01   -1.7905756E-02
 2.2000000E+00     -2.2914066E+00    1.0636135E-03    8.0458069E-04    8.7672984E-04    6.6660945E-01   -2.8326967E-01
 2.3000000E+00     -2.3867108E+00    1.0995582E-03    1.2790985E-03    1.0819716E-03    6.6661029E-01   -1.7946761E-01
 2.4000000E+00     -2.4860227E+00    1.5888258E-03   -4.5716858E-04    9.8859922E-04    6.6655905E-01    5.1406720E-02
 2.5000000E+00     -2.5799147E+00    1.0540935E-03    1.2512207E-03    1.0572225E-03    6.6662228E-01    1.7449124E-01
 2.6000000E+00     -2.6922030E+00    1.5206463E-03   -3.8111725E-03    8.5375864E-04    6.6658185E-01    1.4741607E-01
 2.7000000E+00     -2.7661147E+00    1.3740268E-03   -1.1161957E-03    9.6597511E-04    6.6660120E-01    2.7187094E-01
 2.8000000E+00     -2.8829505E+00    1.0134262E-03   -3.7825012E-04    9.8149464E-04    6.6663392E-01   -6.6655667E-03
 2.9000000E+00     -2.9668520E+00    1.2696480E-03   -1.3775940E-03    9.8674289E-04    6.6661823E-01    2.7428051E-01
 3.0000000E+00     -3.0942357E+00    9.0237771E-04   -1.9974365E-03    1.0248573E-03    6.6664409E-01    1.9037778E-01
 3.1000000E+00     -3.1661076E+00    9.9446154E-04    1.9561462E-03    1.0667230E-03    6.6664062E-01    1.9352409E-01
 3.2000000E+00     -3.2709910E+00    8.7052764E-04    5.0018616E-03    6.0045505E-04    6.6664791E-01    2.6351195E-01
 3.3000000E+00     -3.3887809E+00    1.5615642E-03   -3.1431580E-04    7.2172576E-04    6.6661062E-01    1.5003436E-01
 3.4000000E+00     -3.4807497E+00    1.3429292E-03    4.7389526E-03    5.8512563E-04    6.6662715E-01   -8.5726238E-02
 3.5000000E+00     -3.5579700E+00    1.1668792E-03    1.3802277E-02    6.0149321E-04    6.6663819E-01    3.9572368E-01
 3.6000000E+00     -3.6712816E+00    1.3331470E-03   -1.4475098E-03    7.6228922E-04    6.6663187E-01    1.2509975E-01
 3.7000000E+00     -3.7727380E+00    8.1561336E-04    1.0124741E-02    5.3881654E-04    6.6665426E-01    2.4314401E-01
 3.8000000E+00     -3.8668602E+00    9.6683732E-04   -6.3160553E-03    4.3445186E-04    6.6665007E-01   -9.3776265E-03
 3.9000000E+00     -3.9782267E+00    1.0603152E-03    3.6460266E-03    4.5116752E-04    6.6664787E-01    3.7895320E-01
 4.0000000E+00     -4.0864209E+00    6.4142386E-04    8.7165070E-03    7.3071976E-04    6.6666012E-01    4.1025513E-01
 4.1000000E+00     -4.1765475E+00    1.0005279E-03   -1.2603104E-02    7.5565469E-04    6.6665142E-01    5.0404190E-01
 4.2000000E+00     -4.2746002E+00    7.6111575E-04   -5.5601501E-04    5.3913685E-04    6.6665826E-01    3.3994248E-01
 4.3000000E+00     -4.3766811E+00    4.5601225E-04   -2.5909882E-03    3.3082721E-04    6.6666379E-01    1.8213111E-01
 4.4000000E+00     -4.4815038E+00    1.2646172E-03   -9.7062073E-03    6.8258566E-04    6.6664558E-01    2.2707530E-01
 4.5000000E+00     -4.5903822E+00    7.3206695E-04    1.6299744E-03    8.5445579E-04    6.6665992E-01    4.2638023E-01
 4.6000000E+00     -4.6939929E+00    8.1780419E-04    9.4657898E-04    7.6343723E-04    6.6665861E-01    1.9354589E-01
 4.7000000E+00     -4.7952685E+00    7.1755675E-04   -1.1563614E-02    4.5926154E-04    6.6666073E-01    3.5814710E-01
 4.8000000E+00     -4.8744621E+00    6.5069333E-04   -1.6464233E-04    4.2958392E-04    6.6666194E-01    1.7676250E-01
 4.9000000E+00     -4.9509751E+00    5.3077429E-04   -8.7574768E-04    5.5407559E-04    6.6666362E-01    1.3619483E-01
 5.0000000E+00     -5.0815322E+00    1.0137594E-03   -3.9833374E-03    1.9866611E-04    6.6665614E-01    2.6275839E-01
