step             energy density          mag density             duration
0                -4.0405160E+00       -6.1035156E-03        3.5600000E-06
8                -4.0083910E+00       -9.0332031E-03        4.2900000E-07
16               -3.9519433E+00       -9.5214844E-03        6.2500000E-06
24               -3.8945241E+00       -1.7089844E-03        9.5400000E-07
32               -3.8463518E+00        3.1738281E-03        3.0400000E-07
40               -3.8076502E+00        3.9062500E-03        1.2480000E-06
48               -3.7898990E+00        1.7089844E-03        2.4720000E-06
56               -3.6446649E+00        0.0000000E+00        5.9900000E-07
64               -3.2351466E+00        2.4414062E-03        1.7730000E-06
72               -1.8722871E+00       -1.0253906E-02        3.0158100E-04
80               -1.5513207E+00       -7.3242188E-04        3.8754800E-04
88               -1.5512852E+00        2.6855469E-03        3.3289800E-04
96               -1.5425418E+00       -1.7089844E-03        3.5383000E-04
104              -1.5422875E+00        9.7656250E-04        3.6868700E-04
112              -1.5591028E+00        2.6855469E-03        3.3495400E-04
120              -1.5464582E+00       -2.6855469E-03        3.7248000E-04
128              -1.5510969E+00        2.4414062E-03        3.2481600E-04
136              -1.5542047E+00        1.2207031E-03        3.4678000E-04
144              -1.5561731E+00        7.3242188E-04        6.8339500E-04
152              -1.5388645E+00       -1.9531250E-03        3.3607400E-04
160              -1.5554559E+00       -4.8828125E-04        3.4463100E-04
168              -1.5391645E+00        3.1738281E-03        3.3918300E-04
176              -1.5452375E+00       -4.8828125E-04        3.5546600E-04
184              -1.5542403E+00       -7.3242188E-04        3.7662800E-04
192              -1.5408582E+00       -2.4414062E-03        3.3628500E-04
200              -1.5444797E+00        8.0566406E-03        3.6120400E-04
208              -1.5449832E+00       -3.1738281E-03        3.3730000E-04
216              -1.5427910E+00        9.7656250E-04        3.4520700E-04
224              -1.5452223E+00        1.9531250E-03        3.5599200E-04
232              -1.5471957E+00       -2.4414062E-03        5.2014400E-04
240              -1.5562086E+00        1.2207031E-03        3.9314700E-04
248              -1.5491489E+00        4.3945312E-03        3.3657500E-04
256              -1.5486657E+00        0.0000000E+00        3.5633500E-04
264              -1.5486301E+00        2.9296875E-03        3.3288400E-04
272              -1.5491082E+00        2.4414062E-03        3.3335400E-04
