field                      energy     energy error    magnetization        mag error       ene binder       mag binder
 5.0000000E-01     -1.5474178E+00    1.9973228E-05    9.4079971E-06    9.9541253E-06    6.6666662E-01   -3.5808480E-02
 6.0000000E-01     -1.5683053E+00    2.1363957E-05   -8.9097023E-06    1.1806435E-05    6.6666662E-01    5.2250258E-02
 7.0000000E-01     -1.5930412E+00    2.9718355E-05   -7.5197220E-06    1.2007616E-05    6.6666657E-01   -5.9431040E-01
 8.0000000E-01     -1.6215926E+00    3.3200436E-05    2.7892590E-05    1.4613936E-05    6.6666656E-01    1.2996072E-01
 9.0000000E-01     -1.6538974E+00    3.9227186E-05   -3.6821365E-05    1.8189433E-05    6.6666652E-01   -4.3692923E-02
 1.0000000E+00     -1.6901478E+00    4.6440381E-05   -2.7289391E-05    2.2595581E-05    6.6666647E-01   -4.3036157E-02
 1.1000000E+00     -1.7300576E+00    5.1633886E-05    6.4516068E-06    2.0506326E-05    6.6666643E-01    1.2174747E-01
 1.2000000E+00     -1.7740081E+00    5.9734785E-05   -1.4960766E-05    2.5995153E-05    6.6666637E-01    1.8385229E-01
 1.3000000E+00     -1.8217960E+00    6.3719849E-05   -3.9420128E-05    3.0799379E-05    6.6666634E-01   -3.1331532E-01
 1.4000000E+00     -1.8731293E+00    8.1339679E-05   -2.5224686E-06    3.3089779E-05    6.6666617E-01   -3.9113329E-02
 1.5000000E+00     -1.9287079E+00    7.8934239E-05   -6.3550472E-05    4.1191499E-05    6.6666622E-01   -1.9730262E-03
 1.6000000E+00     -1.9883185E+00    9.8380249E-05   -6.2239170E-05    4.5914981E-05    6.6666602E-01   -3.5925056E-01
 1.7000000E+00     -2.0519057E+00    9.9555011E-05   -5.9032440E-06    4.9718488E-05    6.6666604E-01    1.4110530E-01
 1.8000000E+00     -2.1194767E+00    1.2097723E-04    1.0919571E-06    6.0180786E-05    6.6666580E-01   -1.3746612E-02
 1.9000000E+00     -2.1912369E+00    1.3372391E-04   -1.3542652E-04    7.2136707E-05    6.6666568E-01   -5.5251674E-02
 2.0000000E+00     -2.2665990E+00    1.9617035E-04    4.4827461E-05    9.7660577E-05    6.6666468E-01   -2.6161546E-02
 2.1000000E+00     -2.3470867E+00    2.8762770E-04   -2.7261019E-04    1.7565108E-04    6.6666268E-01   -9.3212305E-02
 2.2000000E+00     -2.4277741E+00    4.4852627E-04   -7.9026699E-04    4.1597195E-04    6.6665761E-01   -3.0673323E-02
 2.3000000E+00     -2.5181709E+00    6.8102091E-04   -2.1551394E-03    2.3503570E-04    6.6664731E-01    1.2968426E-01
 2.4000000E+00     -2.6145433E+00    8.9247068E-04   -3.4852338E-03    4.2611741E-04    6.6663571E-01    3.8964985E-02
 2.5000000E+00     -2.7054040E+00    5.6097326E-04    3.9298368E-03    2.9758113E-04    6.6665528E-01   -1.4680025E-01
 2.6000000E+00     -2.7970790E+00    1.1230176E-03    2.5980473E-03    2.6628333E-04    6.6662413E-01    1.9869736E-01
 2.7000000E+00     -2.8889388E+00    5.4472906E-04   -2.1071935E-03    1.7943012E-04    6.6665727E-01    2.5992093E-01
 2.8000000E+00     -2.9771840E+00    6.3132271E-04    3.4276128E-03    2.7390724E-04    6.6665474E-01   -2.7882878E-03
 2.9000000E+00     -3.0648021E+00    6.4882074E-04    3.3509731E-03    1.4264229E-04    6.6665478E-01    3.8589097E-01
 3.0000000E+00     -3.1552442E+00    7.7739733E-04   -4.4950008E-04    1.7932419E-04    6.6665057E-01    2.9834038E-01
 3.1000000E+00     -3.2602736E+00    8.1230728E-04    5.4729462E-04    3.1456966E-04    6.6665021E-01    2.8374875E-01
 3.2000000E+00     -3.3611355E+00    3.0148249E-04    2.2835779E-03    1.8180598E-04    6.6666453E-01    3.4266388E-01
 3.3000000E+00     -3.4473299E+00    6.7770815E-04    1.1371851E-03    2.1121398E-04    6.6665642E-01    3.5757181E-01
 3.4000000E+00     -3.5454079E+00    6.1186032E-04    2.3299527E-03    1.2055184E-04    6.6665877E-01    3.1088938E-01
 3.5000000E+00     -3.6409791E+00    4.9609584E-04    2.3193955E-03    7.0112790E-05    6.6666174E-01    4.6083097E-01
 3.6000000E+00     -3.7386005E+00    7.5028493E-04   -7.0874929E-04    2.3286943E-04    6.6665597E-01    3.2645011E-01
 3.7000000E+00     -3.8403683E+00    6.6062046E-04   -7.6043844E-04    1.3841378E-04    6.6665881E-01    2.8928861E-01
 3.8000000E+00     -3.9345403E+00    3.0461618E-04   -4.6309733E-03    1.2322744E-04    6.6666508E-01    5.4025676E-01
 3.9000000E+00     -4.0247577E+00    7.0598052E-04   -4.3779325E-03    1.0714603E-04    6.6665850E-01    5.2134522E-01
 4.0000000E+00     -4.1342350E+00    6.7988817E-04   -9.2921686E-03    1.2542314E-04    6.6665950E-01    6.2215697E-01
 4.1000000E+00     -4.2312606E+00    7.1417888E-04   -2.0887709E-03    1.7859885E-04    6.6665910E-01   -2.8298440E-01
 4.2000000E+00     -4.3318671E+00    2.4927371E-04   -7.5337887E-04    1.6808242E-04    6.6666579E-01    3.5048747E-01
 4.3000000E+00     -4.4305253E+00    7.2793566E-04    1.7761731E-03    1.1957565E-04    6.6665951E-01    4.4288164E-01
 4.4000000E+00     -4.5248797E+00    4.7188671E-04    5.4300666E-03    1.8316869E-04    6.6666378E-01    4.4666601E-01
 4.5000000E+00     -4.6388572E+00    5.7449473E-04    1.0046432E-02    8.9070638E-05    6.6666260E-01    6.4727719E-01
 4.6000000E+00     -4.7410179E+00    6.0868242E-04    6.2202907E-03    6.8615437E-05    6.6666230E-01    6.3686404E-01
 4.7000000E+00     -4.8456089E+00    5.2993556E-04    8.3479333E-03    1.0326714E-04    6.6666349E-01    6.2984976E-01
 4.8000000E+00     -4.9497725E+00    3.3559441E-04    6.3634419E-03    1.3288459E-04    6.6666545E-01    5.7152318E-01
 4.9000000E+00     -5.0461837E+00    2.4140972E-04    3.2758617E-03    1.1432999E-04    6.6666606E-01    3.8910022E-01
 5.0000000E+00     -5.1407821E+00    2.4756271E-04    4.0507317E-04    1.0261351E-04    6.6666605E-01    3.6943972E-01
