field                      energy     energy error    magnetization        mag error       ene binder       mag binder
 5.0000000E-01     -1.5473487E+00    9.0859094E-05   -1.1279297E-04    4.8742650E-05    6.6666575E-01   -6.2606030E-02
 6.0000000E-01     -1.5682785E+00    1.2181792E-04   -7.3059082E-05    5.5033270E-05    6.6666507E-01   -3.7410067E-02
 7.0000000E-01     -1.5930761E+00    1.5241083E-04    3.1250000E-05    6.3547634E-05    6.6666424E-01    2.6769098E-02
 8.0000000E-01     -1.6214334E+00    1.6831853E-04   -5.0598145E-05    8.0710960E-05    6.6666381E-01   -7.5995166E-02
 9.0000000E-01     -1.6539743E+00    1.9714901E-04   -6.0363770E-05    9.0540113E-05    6.6666290E-01    4.2724959E-02
 1.0000000E+00     -1.6901358E+00    2.1134551E-04   -6.2194824E-05    1.1293151E-04    6.6666252E-01    2.1349053E-03
 1.1000000E+00     -1.7299764E+00    2.7074907E-04    1.7138672E-04    1.1421028E-04    6.6666017E-01    2.5231872E-02
 1.2000000E+00     -1.7741412E+00    2.9791221E-04    2.3315430E-05    1.5279619E-04    6.6665919E-01    6.0825395E-02
 1.3000000E+00     -1.8215553E+00    3.1356308E-04    5.5480957E-05    1.6005343E-04    6.6665881E-01    4.9575941E-02
 1.4000000E+00     -1.8727285E+00    3.4920037E-04    3.0718994E-04    1.7271774E-04    6.6665744E-01    4.7418598E-03
 1.5000000E+00     -1.9286633E+00    4.0486480E-04   -1.3787842E-04    1.8637672E-04    6.6665498E-01   -2.0112544E-01
 1.6000000E+00     -1.9888546E+00    4.5448873E-04    1.0479736E-04    2.3039288E-04    6.6665281E-01   -6.0171402E-02
 1.7000000E+00     -2.0512679E+00    5.1164343E-04   -7.6458740E-04    2.5756628E-04    6.6665016E-01   -1.0983653E-01
 1.8000000E+00     -2.1205525E+00    6.5799925E-04   -2.6544189E-04    2.8763976E-04    6.6664112E-01    9.2374488E-02
 1.9000000E+00     -2.1924840E+00    7.4785003E-04    4.3359375E-04    4.0146830E-04    6.6663572E-01    1.0860308E-01
 2.0000000E+00     -2.2658475E+00    8.8877310E-04   -1.1102295E-04    4.6009632E-04    6.6662581E-01   -9.2898959E-02
 2.1000000E+00     -2.3483290E+00    1.4443198E-03    2.0916748E-04    7.4924676E-04    6.6656578E-01   -6.4350905E-02
 2.2000000E+00     -2.4308031E+00    2.1514729E-03    1.5674438E-03    1.2330083E-03    6.6645892E-01   -9.5645157E-03
 2.3000000E+00     -2.5233533E+00    2.4172973E-03    3.8055420E-04    1.3455583E-03    6.6642168E-01   -1.0238725E-01
 2.4000000E+00     -2.6171836E+00    1.7601207E-03    3.6442871E-03    1.2118941E-03    6.6654687E-01   -3.6952184E-01
 2.5000000E+00     -2.7134526E+00    2.8343324E-03    1.4671021E-03    1.4889034E-03    6.6637640E-01    1.3992196E-02
 2.6000000E+00     -2.8095471E+00    2.1520024E-03   -4.1606445E-03    1.4470698E-03    6.6651213E-01   -1.4419667E-01
 2.7000000E+00     -2.9155562E+00    2.8784015E-03   -3.8070068E-03    1.4686797E-03    6.6640972E-01   -1.8316624E-01
 2.8000000E+00     -2.9926109E+00    2.7823286E-03    9.6734619E-04    1.2896989E-03    6.6643646E-01    2.4347808E-01
 2.9000000E+00     -3.1093936E+00    1.9783330E-03   -1.9664917E-03    1.0304846E-03    6.6655933E-01    7.6965661E-02
 3.0000000E+00     -3.1672290E+00    1.8581094E-03    2.3348389E-03    1.4393672E-03    6.6657595E-01   -1.1939778E-01
 3.1000000E+00     -3.2909161E+00    2.3840465E-03    4.3801880E-03    1.0378988E-03    6.6652752E-01    3.0851114E-01
 3.2000000E+00     -3.3940030E+00    1.9148204E-03    3.0252075E-03    1.0532174E-03    6.6658215E-01    2.7110216E-01
 3.3000000E+00     -3.4841196E+00    2.4750066E-03   -4.3464355E-03    1.3113013E-03    6.6653333E-01    1.3727527E-01
 3.4000000E+00     -3.6066566E+00    3.0031635E-03    1.7034302E-03    1.3935197E-03    6.6648187E-01    1.9135880E-01
 3.5000000E+00     -3.6789506E+00    3.1460208E-03   -1.1102234E-02    1.2138426E-03    6.6647223E-01    4.1100454E-01
