step             energy density          mag density             duration
0                -4.0035793E+00        0.0000000E+00        4.9542000E-05
32               -3.9913767E+00        8.2397461E-04        4.3060000E-06
64               -3.9662180E+00        9.4604492E-04        4.4730000E-06
96               -3.9484808E+00        9.6130371E-04        4.8630000E-06
128              -3.9204881E+00        1.2054443E-03        4.7810000E-06
160              -3.8845280E+00        1.6937256E-03        5.5210000E-06
192              -3.8734227E+00        2.0141602E-03        5.4179000E-05
224              -3.8215120E+00        3.1585693E-03        4.2080000E-06
256              -3.7840318E+00        9.4604492E-04        4.8670000E-06
288              -3.5329054E+00        5.9051514E-03        3.7364700E-04
320              -9.8451672E-01       -2.7755737E-02        6.7611720E-03
352              -9.7585324E-01        4.5928955E-02        6.2256350E-03
384              -9.7608135E-01        4.8461914E-02        5.5410000E-06
416              -9.9168091E-01        3.2196045E-03        6.9063690E-03
448              -9.8935739E-01       -2.5360107E-02        7.7179020E-03
480              -9.9693337E-01       -7.2204590E-02        6.3543120E-03
512              -9.7917975E-01        5.3070068E-02        7.7857260E-03
544              -9.8515194E-01        2.8076172E-02        6.4067050E-03
576              -1.0036170E+00       -2.9632568E-02        6.2179330E-03
608              -9.9998856E-01       -2.1118164E-02        6.5379890E-03
640              -1.0003194E+00       -1.7822266E-02        6.4310000E-06
672              -1.0073493E+00       -2.8015137E-02        6.2927670E-03
704              -1.0031567E+00       -9.2315674E-03        6.1529360E-03
736              -1.0009765E+00        7.4768066E-03        8.1914060E-03
768              -1.0069240E+00        6.4849854E-03        6.4368040E-03
800              -9.8869388E-01        6.7245483E-02        8.5581780E-03
832              -9.9310306E-01       -7.6263428E-02        7.5852180E-03
864              -9.9343140E-01       -7.4798584E-02        6.5137250E-03
896              -1.0018902E+00        8.6318970E-02        6.4969940E-03
928              -1.0045881E+00        6.6864014E-02        7.2827040E-03
960              -9.9741461E-01       -1.6601562E-02        6.3856280E-03
992              -9.8206871E-01        7.6110840E-02        6.3598760E-03
1024             -9.9971047E-01        7.2097778E-02        6.7075890E-03
1056             -9.9066451E-01       -4.1595459E-02        7.0153700E-03
1088             -9.8432828E-01        4.5333862E-02        6.7318480E-03
1120             -9.9331949E-01       -2.8717041E-02        6.5691020E-03
1152             -9.8571236E-01        1.2893677E-02        7.1316510E-03
1184             -9.9360626E-01       -1.1825562E-02        6.4477750E-03
1216             -1.0020183E+00        4.8492432E-02        7.5200840E-03
1248             -1.0076764E+00        1.5274048E-02        6.4086620E-03
1280             -1.0019162E+00        4.3106079E-02        9.6363720E-03
1312             -1.0051571E+00       -1.0563660E-01        2.5259000E-05
1344             -9.8784383E-01        6.3354492E-02        8.5370000E-06
1376             -1.0032619E+00        2.6580811E-02        8.3580590E-03
1408             -1.0021219E+00        7.3242188E-03        1.0150000E-05
1440             -1.0045058E+00       -2.5375366E-02        5.8400000E-06
1472             -1.0152562E+00       -1.7379761E-02        7.5535340E-03
1504             -9.9941539E-01        4.5104980E-02        7.0619540E-03
1536             -1.0043453E+00       -2.3223877E-02        9.6492300E-03
1568             -1.0076373E+00       -6.9366455E-02        9.4237080E-03
1600             -1.0113118E+00       -5.3375244E-02        9.0760530E-03
1632             -9.9917188E-01       -6.5612793E-04        9.6130430E-03
1664             -9.9378677E-01       -1.0757446E-02        2.9335000E-05
1696             -9.9651114E-01        2.6611328E-02        6.6529700E-03
1728             -1.0001163E+00       -4.4036865E-02        6.6012480E-03
1760             -9.9175643E-01       -2.8472900E-02        6.8525180E-03
1792             -1.0183484E+00       -4.4143677E-02        7.3342980E-03
1824             -1.0167722E+00       -8.3923340E-03        6.7390620E-03
1856             -1.0026721E+00       -6.2561035E-03        7.3694940E-03
1888             -1.0015296E+00        2.0416260E-02        6.3885040E-03
1920             -9.9711890E-01       -2.7282715E-02        6.3982270E-03
1952             -1.0062199E+00        3.8925171E-02        6.3983460E-03
1984             -1.0017351E+00       -2.4017334E-02        6.4311120E-03
2016             -1.0037054E+00        3.7597656E-02        6.4904520E-03
2048             -1.0072037E+00        2.5955200E-02        6.4177720E-03
2080             -9.9760406E-01        2.5955200E-02        6.3769550E-03
2112             -9.9660809E-01       -3.4790039E-03        6.4398210E-03
2144             -9.9993355E-01        4.0771484E-02        6.4002810E-03
2176             -1.0004924E+00       -1.0055542E-02        6.3905810E-03
2208             -1.0047719E+00        1.4404297E-02        6.6447980E-03
2240             -1.0032113E+00       -2.7343750E-02        6.9667570E-03
2272             -9.9873760E-01       -8.1420898E-02        6.4208750E-03
2304             -1.0056622E+00       -6.4865112E-02        6.3072870E-03
2336             -1.0028492E+00        3.2241821E-02        6.4425900E-03
2368             -1.0007267E+00       -1.2924194E-02        2.1685000E-05
2400             -1.0085429E+00       -2.3895264E-02        6.4912810E-03
2432             -1.0003770E+00        2.5573730E-02        6.6945310E-03
2464             -1.0124034E+00       -2.4856567E-02        6.3594850E-03
2496             -1.0134775E+00       -1.4801025E-03        6.4578570E-03
2528             -1.0055656E+00        9.3688965E-03        6.5240130E-03
2560             -1.0046729E+00       -6.6757202E-02        7.1781390E-03
2592             -1.0120254E+00        6.1355591E-02        6.3848700E-03
2624             -1.0144939E+00        1.2344360E-02        6.6200000E-06
2656             -1.0139455E+00       -3.1280518E-02        6.6568410E-03
2688             -1.0013109E+00        2.2094727E-02        6.6020700E-03
2720             -1.0101743E+00        3.7582397E-02        6.7692630E-03
2752             -1.0156170E+00        2.9861450E-02        6.4149760E-03
2784             -1.0135503E+00       -3.5415649E-02        6.3864970E-03
2816             -1.0154037E+00       -3.5980225E-02        6.3516960E-03
2848             -1.0285097E+00       -1.5396118E-02        7.3030830E-03
2880             -1.0287131E+00       -4.9850464E-02        6.3038660E-03
2912             -1.0159081E+00       -5.7556152E-02        7.6659990E-03
2944             -1.0207143E+00        1.5777588E-02        6.3627270E-03
